maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,5
27,12,0.0,11.6,5,6
27,12,0.0,11.6,5,6
27,12,0.0,11.6,5,7
27,12,0.0,11.6,5,7
27,12,0.0,11.6,5,7
27,12,0.0,11.6,5,7
27,12,0.0,11.6,5,7
27,12,0.0,11.6,5,6
27,12,0.0,11.6,5,6
27,12,0.0,11.6,5,6
27,12,0.0,11.6,5,5
27,12,0.0,11.6,5,5
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,5
27,16,0.0,11.6,5,6
27,16,0.0,11.6,5,6
27,16,0.0,11.6,5,7
27,16,0.0,11.6,5,7
27,16,0.0,11.6,5,7
27,16,0.0,11.6,5,7
27,16,0.0,11.6,5,7
27,16,0.0,11.6,5,6
27,16,0.0,11.6,5,6
27,16,0.0,11.6,5,6
27,16,0.0,11.6,5,6
27,16,0.0,11.6,5,5
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,5
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,7
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
